origin_zone,dest_zone,motive,motive_name,trips,o_lon,o_lat,d_lon,d_lat
1,35,3,Trabalho Serviços,1755,-46.63192,-23.55239,-46.64081,-23.5331
1,1,4,Educação,1755,-46.63773,-23.5493,-46.62984,-23.5512
2,3,4,Educação,1755,-46.63175,-23.54746,-46.629,-23.55449
2,7,2,Trabalho Comércio,1755,-46.62885,-23.54996,-46.62692,-23.53448
2,1,4,Educação,1755,-46.62885,-23.54996,-46.63425,-23.54441
341,2,8,Residência,1755,-46.70776,-23.57636,-46.6315,-23.54802
6,2,8,Residência,1755,-46.63684,-23.53999,-46.62777,-23.53938
27,3,8,Residência,1755,-46.64707,-23.56021,-46.62922,-23.55421
2,3,8,Residência,1755,-46.6324,-23.54475,-46.63091,-23.55351
16,3,8,Residência,1755,-46.61989,-23.54514,-46.62903,-23.55383
3,3,8,Residência,1755,-46.63002,-23.55256,-46.63014,-23.55379
3,3,4,Educação,1755,-46.62896,-23.55311,-46.629,-23.55449
3,3,8,Residência,1755,-46.629,-23.55449,-46.62896,-23.55311
23,3,8,Residência,1755,-46.63996,-23.57113,-46.63189,-23.55512
2,3,8,Residência,1755,-46.63207,-23.54237,-46.62823,-23.55291
5,3,8,Residência,1755,-46.63832,-23.54688,-46.63135,-23.55521
43,4,8,Residência,1755,-46.60497,-23.54954,-46.64165,-23.54876
83,31,7,Lazer,1755,-46.69133,-23.55807,-46.65082,-23.55139
4,83,10,Assuntos Pessoais,1755,-46.64584,-23.54969,-46.69133,-23.55807
31,4,8,Residência,1755,-46.65082,-23.55139,-46.64584,-23.54969
4,429,3,Trabalho Serviços,1755,-46.64303,-23.55084,-46.52828,-23.66334
4,4,11,Refeição,1755,-46.64324,-23.5539,-46.64511,-23.55036
4,29,10,Assuntos Pessoais,1755,-46.64324,-23.5539,-46.65215,-23.55766
94,4,8,Residência,1755,-46.68173,-23.52567,-46.64605,-23.55026
4,319,3,Trabalho Serviços,1755,-46.64477,-23.55064,-46.69831,-23.59858
319,4,8,Residência,1755,-46.69831,-23.59858,-46.64477,-23.55064
4,31,7,Lazer,1755,-46.64605,-23.55026,-46.64956,-23.55187
4,1,3,Trabalho Serviços,1755,-46.63833,-23.55088,-46.63648,-23.5469
1,4,8,Residência,1755,-46.63648,-23.5469,-46.63833,-23.55088
