origin_zone,dest_zone,motive,motive_name,trips,o_lon,o_lat,d_lon,d_lat
151,1,8,Residência,606,-46.59643,-23.46255,-46.62929,-23.55093
5,1,8,Residência,606,-46.63887,-23.54611,-46.6359,-23.55021
1,6,2,Trabalho Comércio,606,-46.63572,-23.55026,-46.63533,-23.54033
16,1,8,Residência,606,-46.6145,-23.55408,-46.63103,-23.55195
93,1,8,Residência,606,-46.66641,-23.53032,-46.63773,-23.5493
1,35,3,Trabalho Serviços,606,-46.63192,-23.55239,-46.64081,-23.5331
1,1,4,Educação,606,-46.63773,-23.5493,-46.62984,-23.5512
1,56,3,Trabalho Serviços,606,-46.62912,-23.55175,-46.64042,-23.58102
2,1,8,Residência,606,-46.63221,-23.54012,-46.62834,-23.55128
2,68,7,Lazer,606,-46.63267,-23.53632,-46.68206,-23.58557
5,2,8,Residência,606,-46.63887,-23.54322,-46.63058,-23.54786
31,2,8,Residência,606,-46.65468,-23.54863,-46.63457,-23.54208
2,3,4,Educação,606,-46.63175,-23.54746,-46.629,-23.55449
3,2,8,Residência,606,-46.629,-23.55449,-46.63175,-23.54746
2,32,3,Trabalho Serviços,606,-46.63121,-23.53652,-46.65953,-23.55852
2,2,2,Trabalho Comércio,606,-46.63267,-23.53632,-46.63146,-23.54175
7,2,8,Residência,606,-46.62692,-23.53448,-46.62885,-23.54996
2,7,2,Trabalho Comércio,606,-46.62885,-23.54996,-46.62692,-23.53448
2,1,4,Educação,606,-46.62885,-23.54996,-46.63425,-23.54441
1,2,8,Residência,606,-46.63425,-23.54441,-46.62885,-23.54996
2,167,7,Lazer,606,-46.63069,-23.54771,-46.57373,-23.54798
2,341,3,Trabalho Serviços,606,-46.6315,-23.54802,-46.70776,-23.57636
341,2,8,Residência,606,-46.70776,-23.57636,-46.6315,-23.54802
2,6,3,Trabalho Serviços,606,-46.62777,-23.53938,-46.63684,-23.53999
6,2,8,Residência,606,-46.63684,-23.53999,-46.62777,-23.53938
3,301,2,Trabalho Comércio,606,-46.62903,-23.55383,-46.69875,-23.62318
301,3,8,Residência,606,-46.69875,-23.62318,-46.62903,-23.55383
3,27,6,Saúde,606,-46.62922,-23.55421,-46.64707,-23.56021
27,3,8,Residência,606,-46.64707,-23.56021,-46.62922,-23.55421
3,27,6,Saúde,606,-46.62922,-23.55421,-46.64707,-23.56021
27,3,8,Residência,606,-46.64707,-23.56021,-46.62922,-23.55421
3,14,3,Trabalho Serviços,606,-46.63088,-23.55388,-46.61757,-23.53803
3,3,4,Educação,606,-46.62901,-23.55494,-46.63056,-23.55251
3,3,8,Residência,606,-46.63056,-23.55251,-46.62901,-23.55494
3,3,8,Residência,606,-46.63056,-23.55251,-46.62901,-23.55494
3,2,4,Educação,606,-46.63091,-23.55351,-46.63224,-23.54536
3,2,4,Educação,606,-46.63091,-23.55351,-46.6324,-23.54475
2,3,8,Residência,606,-46.6324,-23.54475,-46.63091,-23.55351
3,16,2,Trabalho Comércio,833,-46.62903,-23.55383,-46.61989,-23.54514
16,3,8,Residência,833,-46.61989,-23.54514,-46.62903,-23.55383
3,3,3,Trabalho Serviços,606,-46.62903,-23.55383,-46.63002,-23.55256
3,3,8,Residência,606,-46.63002,-23.55256,-46.63014,-23.55379
4,3,8,Residência,606,-46.63865,-23.55383,-46.62901,-23.55494
18,3,8,Residência,606,-46.62037,-23.5537,-46.62865,-23.553
3,24,2,Trabalho Comércio,606,-46.62861,-23.55349,-46.63501,-23.5599
68,3,8,Residência,606,-46.67437,-23.58265,-46.62861,-23.55349
18,35,7,Lazer,606,-46.62529,-23.55676,-46.6462,-23.53468
3,16,4,Educação,606,-46.62865,-23.553,-46.62175,-23.55333
3,238,3,Trabalho Serviços,606,-46.63004,-23.5534,-46.6019,-23.60272
238,3,8,Residência,606,-46.6019,-23.60272,-46.63004,-23.5534
48,3,8,Residência,606,-46.57713,-23.5582,-46.63081,-23.55408
18,3,8,Residência,606,-46.6242,-23.56028,-46.63081,-23.55408
